model,date,mean,lower,upper,ci_level,forecast_date
ensemble,2020-04-17,9654.231432361139,1331.5716512207919,37525.34670231184,95,2020-04-15
ensemble,2020-04-18,11377.28973994796,1229.9854220165985,49718.25203896869,95,2020-04-15
ensemble,2020-04-19,13078.773142545115,1106.4377231191152,63608.915097788515,95,2020-04-15
ensemble,2020-04-20,15044.01356028676,989.9898852284267,81002.39597750883,95,2020-04-15
ensemble,2020-04-21,17309.573427811352,879.9392446768103,102812.1131865677,95,2020-04-15
ensemble,2020-04-22,12095.647150826231,1.1738963666730198,94353.74796813309,95,2020-04-15
ensemble,2020-04-23,38782.48937556708,745.0993267333253,303326.97527979023,95,2020-04-15
ensemble,2020-04-24,16093.460018940108,56.58774039137826,147776.3867549538,95,2020-04-15
ensemble,2020-04-25,48213.6159667583,542.395530220514,436634.40572498564,95,2020-04-15
ensemble,2020-04-26,34766.95959036954,431.6840290202043,332639.6051767866,95,2020-04-15
ensemble,2020-04-27,39894.28320217316,364.5102272374396,420919.1863022078,95,2020-04-15
ensemble,2020-04-28,45738.30218971844,305.0519070480376,533223.214610632,95,2020-04-15
ensemble,2020-05-01,7138.359128653594,1785.226340112065,20106.09737502625,95,2020-05-01
ensemble,2020-05-02,7969.696153132281,1600.3494971519924,25537.086740346705,95,2020-05-01
ensemble,2020-05-03,8915.509059116184,1437.2188787809905,32085.286042806205,95,2020-05-01
ensemble,2020-05-04,9989.403120234327,1287.9704552864528,39966.03714595775,95,2020-05-01
ensemble,2020-05-05,11206.238250975015,1148.9851230796655,49455.76740346999,95,2020-05-01
ensemble,2020-05-06,12582.256533910111,1018.7854801353603,60901.16433642096,95,2020-05-01
ensemble,2020-05-07,14135.222969857843,896.9555022812211,74733.14472269155,95,2020-05-01
ensemble,2020-05-08,15884.580808716846,783.5711443901322,91485.59913603208,95,2020-05-01
ensemble,2020-05-09,17851.62295636908,678.8933454786986,111819.54935077998,95,2020-05-01
ensemble,2020-05-10,20184.79416150498,584.15745933611,137441.91136395594,95,2020-05-01
ensemble,2020-05-11,22534.334397134626,496.66067698652546,166705.00612763534,95,2020-05-01
ensemble,2020-05-12,20186.79317766317,382.55474366851683,166030.44284253038,95,2020-05-01
ensemble,2020-05-13,29930.177204083215,353.3615243725261,261823.68555204707,95,2020-05-01
