model,date,mean,lower,upper,ci_level,forecast_date
arima_tweet,2020-05-13,40003.695312792726,1375.0985384615105,305798.05276855116,95,2020-05-01
arima_tweet,2020-05-14,39872.07535208337,1214.8443075699208,322546.4138645858,95,2020-05-01
arima_tweet,2020-05-15,4610.65660203353,1242.2699677137607,12439.472590209887,95,2020-05-15
arima_tweet,2020-05-16,5094.389299449431,1129.8809022802095,15380.926302713347,95,2020-05-15
arima_tweet,2020-05-17,6478.621335347811,1025.3537376160646,23509.400124309337,95,2020-05-15
arima_tweet,2020-05-18,6647.898068661241,841.5201805963937,27083.25770081708,95,2020-05-15
arima_tweet,2020-05-19,1645.9978530920348,163.97862051875006,7549.1996096650355,95,2020-05-15
arima_tweet,2020-05-20,8511.231890712488,694.487264990044,43124.469554478055,95,2020-05-15
arima_tweet,2020-05-21,0.20301759616541343,-0.9192407265747973,5.7012621102539915,95,2020-05-15
arima_tweet,2020-05-22,10770.485514312459,601.4978182147657,65459.577525094974,95,2020-05-15
arima_tweet,2020-05-23,12074.410184000244,566.525068804724,79690.34504701721,95,2020-05-15
arima_tweet,2020-05-24,13507.737005510868,537.1952550835066,96370.44632539019,95,2020-05-15
arima_tweet,2020-05-25,15084.239098837515,512.0761937511426,115925.80778847757,95,2020-05-15
arima_tweet,2020-05-26,16816.038200540235,490.5166573025179,138774.1754428881,95,2020-05-15
arima_tweet,2020-05-27,18717.708044833584,471.8441417405269,165428.5659694395,95,2020-05-15
arima_tweet,2020-05-28,20804.393479085258,455.6150559742139,196454.19211806363,95,2020-05-15
arima_tweet,2020-06-01,2312.9037922135085,717.4441709333306,5730.192917387552,95,2020-06-01
arima_tweet,2020-06-02,2338.180651768069,632.5150575563001,6292.126206645074,95,2020-06-01
arima_tweet,2020-06-03,2380.1052982244455,549.7304674196164,7020.675468112831,95,2020-06-01
arima_tweet,2020-06-04,2438.7825737962653,472.33786544338204,7936.6837630043665,95,2020-06-01
arima_tweet,2020-06-05,2514.146813412887,402.1953240430418,9067.24725133776,95,2020-06-01
arima_tweet,2020-06-06,2606.0018019644463,340.0720294238704,10446.61735359535,95,2020-06-01
arima_tweet,2020-06-07,2714.052584902285,285.99099116322617,12117.100276210429,95,2020-06-01
arima_tweet,2020-06-08,2837.930770841386,239.51778357010036,14130.10552218771,95,2020-06-01
arima_tweet,2020-06-09,2977.2146293527776,199.97245961690263,16547.415681680945,95,2020-06-01
arima_tweet,2020-06-10,3560.1655337497623,189.50700937797575,22103.869253709054,95,2020-06-01
arima_tweet,2020-06-11,3300.137997507256,138.52158424112184,22903.403174834813,95,2020-06-01
arima_tweet,2020-06-12,3951.6535084366715,130.68399250418324,30670.994294622622,95,2020-06-01
arima_tweet,2020-06-13,2580.092950250296,66.6915869983049,22411.02603428764,95,2020-06-01
