model,date,mean,lower,upper,ci_level,forecast_date
arima,2021-03-03,579.1807770580658,103.55547003528974,1963.9348884198926,95,2021-03-01
arima,2021-03-04,605.4094532432578,83.58545599187389,2350.3712286861132,95,2021-03-01
arima,2021-03-05,617.3388199037024,67.39173852441141,2697.0028757475034,95,2021-03-01
arima,2021-03-06,603.9220027518533,53.03722966760162,2933.103505353135,95,2021-03-01
arima,2021-03-07,634.6332139394215,45.5335391983128,3395.1672602053927,95,2021-03-01
arima,2021-03-08,714.8048200592677,38.14317959635767,4396.0575780889385,95,2021-03-01
arima,2021-03-09,748.86449829406,30.976793115608313,5179.989503976208,95,2021-03-01
arima,2021-03-10,796.1931739557067,25.947117059213575,6143.051714328889,95,2021-03-01
arima,2021-03-11,832.6511544142222,21.645295553462628,7119.117671350149,95,2021-03-01
arima,2021-03-12,857.7902763223212,17.967211438039847,8084.04390405437,95,2021-03-01
arima,2021-03-13,870.299599343817,14.805520042854464,9000.711610520397,95,2021-03-01
arima,2021-03-14,916.706282147441,12.795399472008343,10364.423346395102,95,2021-03-01
arima,2021-03-15,552.6464938677276,191.38419650910126,1276.7897065373786,95,2021-03-15
arima,2021-03-16,600.2690612377448,147.7112929379894,1705.0471175578625,95,2021-03-15
arima,2021-03-17,629.607177048657,116.29543987271774,2098.3998516247475,95,2021-03-15
arima,2021-03-18,683.9056147042916,98.0877306711711,2604.92229872122,95,2021-03-15
arima,2021-03-19,691.4711854671093,78.78641547535383,2959.05583859058,95,2021-03-15
arima,2021-03-20,697.3139776079677,64.23918907665012,3312.3574160220205,95,2021-03-15
arima,2021-03-21,719.5158758337993,54.365553703708954,3759.645497798843,95,2021-03-15
arima,2021-03-22,815.9287270645202,46.11521485247576,4891.892229706595,95,2021-03-15
arima,2021-03-23,881.7276577208326,38.86404227375401,5935.29797849009,95,2021-03-15
arima,2021-03-24,929.6583196510552,32.44143152209034,6968.5882113155685,95,2021-03-15
arima,2021-03-25,994.3661402742908,27.843410576132538,8245.985061316682,95,2021-03-15
arima,2021-03-26,1027.1647859138716,23.303732173038814,9373.895494552075,95,2021-03-15
arima,2021-03-27,1048.269385919114,19.434309901980853,10481.509173923027,95,2021-03-15
arima,2021-03-28,1091.928471815792,16.689577658791176,11917.459611236829,95,2021-03-15
arima,2021-04-01,443.0374818650971,156.59510857775754,1010.0253429155262,95,2021-04-01
arima,2021-04-02,453.27310560833564,114.74678956444635,1265.842968745331,95,2021-04-01
arima,2021-04-03,452.43132419763066,86.4973937571332,1478.568504071658,95,2021-04-01
arima,2021-04-04,471.59490397329955,70.36221871862743,1757.4033149094832,95,2021-04-01
arima,2021-04-05,559.8536463801125,66.81145219832973,2338.784010637498,95,2021-04-01
arima,2021-04-06,550.6820398812225,53.348382533716155,2548.986260924427,95,2021-04-01
arima,2021-04-07,570.9456083924292,45.5508422566687,2902.076867711149,95,2021-04-01
arima,2021-04-08,618.6948963262059,37.03237951400637,3602.247039974171,95,2021-04-01
arima,2021-04-09,641.2800824702198,30.00173898426767,4184.6534918238685,95,2021-04-01
arima,2021-04-10,657.656497889966,24.399475870091667,4770.495190234429,95,2021-04-01
arima,2021-04-11,687.9722928556425,20.50698819737949,5511.310623591755,95,2021-04-01
arima,2021-04-12,771.4730853469542,18.740005812108752,6788.828775926167,95,2021-04-01
arima,2021-04-13,779.5018669217329,15.48735925202806,7502.895923068197,95,2021-04-01
arima,2021-04-14,814.8224398101926,13.368071702393479,8546.355333753118,95,2021-04-01
arima,2021-04-15,248.06568510011607,88.92164080439713,559.8791698971714,95,2021-04-15
arima,2021-04-16,257.0108806692391,66.27541579583445,708.8552377794308,95,2021-04-15
arima,2021-04-17,257.0063957478852,50.20345433483626,828.0072876259104,95,2021-04-15
arima,2021-04-18,265.39429398450454,40.54990007865234,973.4707080463967,95,2021-04-15
arima,2021-04-19,296.51850275159615,36.30041955886686,1217.5439154494695,95,2021-04-15
arima,2021-04-20,319.19322884153365,31.823325526350573,1450.100389673462,95,2021-04-15
arima,2021-04-21,312.55407637224005,25.64161964103462,1557.551590693028,95,2021-04-15
arima,2021-04-22,338.21524400760495,20.820971214684466,1927.5570079914182,95,2021-04-15
arima,2021-04-23,355.8836823037393,17.119083060689974,2269.824273516561,95,2021-04-15
arima,2021-04-24,366.6642322811043,13.96138261017174,2595.9102450162345,95,2021-04-15
arima,2021-04-25,382.7907901992562,11.680454020297589,2988.791935680698,95,2021-04-15
arima,2021-04-26,416.48018275324614,10.323642466709746,3567.1332625658783,95,2021-04-15
arima,2021-04-27,441.30665915272317,8.943489338596596,4128.438985784362,95,2021-04-15
arima,2021-04-28,446.24142914608,7.403731531315202,4543.2985294810815,95,2021-04-15
arima,2021-05-01,184.03614312160266,66.92645267862305,411.21625428721416,95,2021-05-01
