model,date,mean,lower,upper,ci_level,forecast_date
ets,2020-06-22,2019.8115367899463,170.96067902288866,10036.25309485056,95,2020-06-15
ets,2020-06-23,2138.933260010052,140.11371662816262,12021.66379014016,95,2020-06-15
ets,2020-06-24,2274.1487416991586,113.91042272230975,14511.305647650683,95,2020-06-15
ets,2020-06-25,2426.165455104453,91.89302215435627,17644.690303547766,95,2020-06-15
ets,2020-06-26,2595.6592278803364,73.57550413534399,21603.859844390583,95,2020-06-15
ets,2020-06-27,2783.2749738623543,58.47477431554152,26627.13527763709,95,2020-06-15
ets,2020-06-28,2989.627411881954,46.131291908175925,33027.596483693735,95,2020-06-15
ets,2020-07-01,8.085335736017223,1.2454824916784242,24.789371423301002,95,2020-07-01
ets,2020-07-02,7.55933601140409,0.46688909246507415,28.782784897026787,95,2020-07-01
ets,2020-07-03,7.066702076745933,-0.01642591122966197,32.50947771370651,95,2020-07-01
ets,2020-07-04,6.60285073795121,-0.33038574763108197,36.13318516524374,95,2020-07-01
ets,2020-07-05,6.164215942018146,-0.5397397616843413,39.75637860571057,95,2020-07-01
ets,2020-07-06,5.748043007968413,-0.6816560387276775,43.45438268969357,95,2020-07-01
ets,2020-07-07,5.352217280364098,-0.7789074657291676,47.2891183286134,95,2020-07-01
ets,2020-07-08,4.97512256967054,-0.8460420603297537,51.315865823948656,95,2020-07-01
ets,2020-07-09,4.615525163811681,-0.892618378495687,55.58713472021238,95,2020-07-01
ets,2020-07-10,4.272479664379205,-0.9250405230986098,60.15518277746147,95,2020-07-01
ets,2020-07-11,3.9452532816857007,-0.9476589671341012,65.07386035975381,95,2020-07-01
ets,2020-07-12,3.63326567766064,-0.9634585969822219,70.40011403642346,95,2020-07-01
ets,2020-07-13,3.3360417468751926,-0.9745020516944597,76.19533233880803,95,2020-07-01
ets,2020-07-14,3.0531751326185157,-0.9822219798295084,82.52664488027771,95,2020-07-01
ets,2020-07-15,11.367446775988547,2.003486523348209,34.46407923983112,95,2020-07-15
ets,2020-07-16,11.53286809686346,1.1370118610146496,42.727369820605226,95,2020-07-15
ets,2020-07-17,11.693446621308684,0.5619976420078536,51.483866981728994,95,2020-07-15
ets,2020-07-18,11.847163229732061,0.16049386159391466,60.973962401684275,95,2020-07-15
ets,2020-07-19,11.992259560213828,-0.1285025407183532,71.39888845525358,95,2020-07-15
ets,2020-07-20,12.127222818573582,-0.34068031718829384,82.95525686149657,95,2020-07-15
ets,2020-07-21,12.250770288476955,-0.49859657530398094,95.85065264686722,95,2020-07-15
ets,2020-07-22,12.361833750786028,-0.6172731360914947,110.3132371160646,95,2020-07-15
ets,2020-07-23,12.45954399095481,-0.7070906698022656,126.59935105681986,95,2020-07-15
ets,2020-07-24,12.543215531628185,-0.775419165286227,145.00068439521215,95,2020-07-15
ets,2020-07-25,12.612331713297404,-0.8275978581354775,165.85177768441835,95,2020-07-15
ets,2020-07-26,12.66653021715754,-0.867554545150184,189.53832712087666,95,2020-07-15
ets,2020-07-27,12.705589100439036,-0.898212895188361,216.5066588933249,95,2020-07-15
ets,2020-07-28,12.729413410133564,-0.921769025401236,247.27471390578958,95,2020-07-15
ets,2020-08-01,26.755317277027434,5.8657564177704895,77.7461732046661,95,2020-08-01
ets,2020-08-02,28.58608761534989,4.096211210321529,101.66749570296648,95,2020-08-01
ets,2020-08-03,30.495437979541812,2.9011812913868726,128.79166180247176,95,2020-08-01
ets,2020-08-04,32.48245542079481,2.042780889709281,160.04037906066802,95,2020-08-01
ets,2020-08-05,34.54612833238869,1.4029594155279397,196.34292750471963,95,2020-08-01
ets,2020-08-06,36.68535283327053,0.9142916888860864,238.73002290598401,95,2020-08-01
ets,2020-08-07,38.89893890617786,0.5346573531267471,288.3887569844742,95,2020-08-01
ets,2020-08-08,41.18561629088964,0.2360589537406026,346.7094006218698,95,2020-08-01
