date,cases
2021-07-17,1405
2021-07-18,1390
2021-07-19,1920
2021-07-20,1612
2021-07-21,1582
2021-07-22,1390
2021-07-23,1284
2021-07-24,958
2021-07-25,950
2021-07-26,1382
2021-07-27,1369
2021-07-28,1292
2021-07-29,1181
2021-07-30,1036
2021-07-31,770
2021-08-01,875
2021-08-02,1331
2021-08-03,1380
2021-08-04,1306
2021-08-05,1344
2021-08-06,1263
2021-08-07,946
2021-08-08,1050
2021-08-09,1505
2021-08-10,1532
2021-08-11,1587
2021-08-12,1403
2021-08-13,1531
2021-08-14,1485
2021-08-15,1637
2021-08-16,2764
2021-08-17,3398
2021-08-18,3735
2021-08-19,3737
2021-08-20,3450
2021-08-21,3058
2021-08-22,3669
2021-08-23,5557
2021-08-24,5652
2021-08-25,6888
2021-08-26,7280
2021-08-27,6072
2021-08-28,4777
2021-08-29,4463
2021-08-30,6584
2021-08-31,7028
2021-09-01,7561
2021-09-02,7618
2021-09-03,6175
2021-09-04,5023
2021-09-05,4938
2021-09-06,7129
2021-09-07,6727
2021-09-08,6251
2021-09-09,5556
2021-09-10,4782
2021-09-11,3626
2021-09-12,3374
2021-09-13,5091
2021-09-14,4781
2021-09-15,4076
2021-09-16,3573
2021-09-17,3372
2021-09-18,2613
2021-09-19,2796
2021-09-20,4004
2021-09-21,3802
2021-09-22,3513
2021-09-23,3120
2021-09-24,2714
2021-09-25,2141
2021-09-26,2151
2021-09-27,3133
2021-09-28,3203
2021-09-29,2605
2021-09-30,2374
2021-10-01,2047
2021-10-02,1872
2021-10-03,1993
2021-10-04,2965
2021-10-05,2841
2021-10-06,2655
2021-10-07,2612
2021-10-08,2295
2021-10-09,2147
2021-10-10,1891
2021-10-11,2838
2021-10-12,2643
2021-10-13,2648
2021-10-14,2687
2021-10-15,2582
2021-10-16,2160
2021-10-17,2312
2021-10-18,2980
2021-10-19,2779
2021-10-20,2853
2021-10-21,2549
2021-10-22,2462
2021-10-23,2154
2021-10-24,2334
2021-10-25,3313
2021-10-26,2933
2021-10-27,2674
2021-10-28,2524
2021-10-29,2553
2021-10-30,2044
2021-10-31,2086
2021-11-01,3315
2021-11-02,3061
2021-11-03,3003
